path	table_type	required_for_90pt	min_rows	required_columns	claim_gate
results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	trace_scores	yes	3600	experiment,condition,dataset,student_id,seed,trace_id,label,score_cml,score_baseline,source_teacher,reference_model,attack_model,attack_recipe	adaptive laundering metrics may enter main text
results_90pt/summaries/adaptive_laundering_student_summary.csv	student_summary	yes	15	experiment,condition,dataset,student_id,seed,auroc,tpr_at_1pct_fpr,fpr_zero,delta_auroc_vs_identity	adaptive laundering figure may enter main text
results_90pt/scored_matrices/base_mismatch_reference_scores.parquet	trace_scores	yes	3600	experiment,condition,dataset,student_id,seed,trace_id,label,score_cml,reference_model,reference_family,base_match_status	base-mismatch metrics may enter main text
results_90pt/summaries/base_mismatch_calibration_summary.csv	student_summary	yes	9	experiment,condition,dataset,reference_model,auroc,tpr_at_1pct_fpr,fpr_zero,calibration_bias	base-assumption boundary may enter main text
results_90pt/scored_matrices/out_of_set_candidate_scores.parquet	trace_scores	yes	1800	experiment,condition,dataset,student_id,seed,true_teacher,pred_teacher,score_margin,abstained,score_cml	open-set abstention metrics may enter main text
results_90pt/summaries/out_of_set_abstention_summary.csv	student_summary	yes	12	experiment,condition,dataset,student_id,seed,abstention_rate,false_attribution_rate,closed_set_accuracy	open-set claim may enter main text
results_90pt/summaries/cross_base_student_matrix.csv	student_summary	yes	6	experiment,condition,dataset,student_base,student_training,seed,auroc,tpr_at_1pct_fpr,fpr_zero	broader model-family claim may enter main text
results_90pt/scored_matrices/mtcr_per_task_profiles.parquet	task_scores	yes	48	experiment,condition,task_view,candidate_teacher,reference_model,student_id,seed,score_cml,score_mtcr	MTCR can remain a main-body attribution claim
results_90pt/summaries/mtcr_task_ablation_with_ci.csv	task_summary	yes	12	experiment,calibration_tasks,candidate_teacher,mean_accuracy,ci_low,ci_high,n_students	MTCR point estimates can be replaced with uncertainty
results_90pt/reproducibility/reproducibility_manifest.tsv	manifest	yes	1	artifact_id,artifact_type,path,sha256,size_bytes,created_at,source_run_id,public_release_status	reproducibility claim may be strengthened
