student,type,mean_max_r,group,label,seed_offset,y_pos
ctrlC_ref,ctrlC_ref,-0.657126793090461,non-distilled control,Human-ref control,0,1
ctrlC_ref_s1,ctrlC_ref,-0.6636064853000125,non-distilled control,Human-ref control,-0.12,0.88
ctrlC_ref_s2,ctrlC_ref,-0.6581834432568558,non-distilled control,Human-ref control,0.12,1.12
ctrlInst_qwen,ctrlInst_qwen,0.02548448504500952,distilled,Qwen14B student,0,3
ctrlInst_qwen_s1,ctrlInst_qwen,0.01391103025659095,distilled,Qwen14B student,-0.12,2.88
ctrlInst_qwen_s2,ctrlInst_qwen,0.024103241767093175,distilled,Qwen14B student,0.12,3.12
ctrlLlama_r1,ctrlLlama_r1,0.010080862690386034,distilled,R1-Llama student,0,2
ctrlLlama_r1_s1,ctrlLlama_r1,0.01526236701005325,distilled,R1-Llama student,-0.12,1.88
ctrlLlama_r1_s2,ctrlLlama_r1,0.013532651218708105,distilled,R1-Llama student,0.12,2.12
suspect,suspect,-0.004483771491609526,distilled,R1-Qwen student,0,4
suspect_s1,suspect,0.0066618066373010775,distilled,R1-Qwen student,-0.12,3.88
suspect_s2,suspect,-0.0027460050398873982,distilled,R1-Qwen student,0.12,4.12
