run_id	priority	experiment	condition	dataset	unit	seeds	trace_budget	required_for_90pt	expected_primary_output	main_claim_unlocked	manuscript_destination
LND-001	1	adaptive_laundering	identity_control	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	clean baseline for laundering comparison	main Fig. 4
LND-002	1	adaptive_laundering	paraphrase_second_model	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	measured paraphrase evasion boundary	main Fig. 4
LND-003	1	adaptive_laundering	truncate_reasoning_to_final_steps	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	measured truncation evasion boundary	main Fig. 4
LND-004	1	adaptive_laundering	answer_only_compression	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	measured answer-only failure boundary	main Fig. 4
LND-005	1	adaptive_laundering	self_rewrite_with_non_candidate_llm	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	measured rewrite evasion boundary	main Fig. 4
LND-006	1	adaptive_laundering	paraphrase_second_model	MATH	trace_and_student	1	200	preferred	results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	MATH stress-test laundering boundary	supplement
BASE-001	2	base_mismatch	correct_base_reference	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/base_mismatch_reference_scores.parquet	calibration baseline	main Fig. 4
BASE-002	2	base_mismatch	neighboring_same_family_reference	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/base_mismatch_reference_scores.parquet	same-family base sensitivity	main Fig. 4
BASE-003	2	base_mismatch	different_family_reference	GSM8K	trace_and_student	3	200	yes	results_90pt/scored_matrices/base_mismatch_reference_scores.parquet	unknown-base failure boundary	main Fig. 4
BASE-004	2	base_mismatch	no_runnable_base_fallback	GSM8K	trace_and_student	3	200	preferred	results_90pt/scored_matrices/base_mismatch_reference_scores.parquet	abstention when base unavailable	supplement
OPEN-001	3	out_of_set_candidate	source_teacher_present_closed_set	GSM8K	student	3	200	yes	results_90pt/scored_matrices/out_of_set_candidate_scores.parquet	closed-set reference baseline	main Fig. 4
OPEN-002	3	out_of_set_candidate	source_teacher_absent	GSM8K	student	3	200	yes	results_90pt/scored_matrices/out_of_set_candidate_scores.parquet	open-set abstention behavior	main Fig. 4
OPEN-003	3	out_of_set_candidate	sibling_teacher_absent	GSM8K	student	3	200	yes	results_90pt/scored_matrices/out_of_set_candidate_scores.parquet	false sibling attribution control	main Fig. 4
OPEN-004	3	out_of_set_candidate	unrelated_capable_teacher_present	GSM8K	student	3	200	yes	results_90pt/scored_matrices/out_of_set_candidate_scores.parquet	false attribution control	main Fig. 4
XBASE-001	4	broader_student_matrix	qwen_lora_rank32	GSM8K	student	3	200	yes	results_90pt/summaries/cross_base_student_matrix.csv	current-matrix anchor	supplement
XBASE-002	4	broader_student_matrix	non_qwen_base_lora_rank32	GSM8K	student	3	200	yes	results_90pt/summaries/cross_base_student_matrix.csv	broader base-family evidence	main or supplement
XBASE-003	4	broader_student_matrix	higher_rank_adapter	GSM8K	student	3	200	preferred	results_90pt/summaries/cross_base_student_matrix.csv	scale sensitivity evidence	supplement
XBASE-004	4	broader_student_matrix	full_or_near_full_finetune	GSM8K	student	1	200	preferred	results_90pt/summaries/cross_base_student_matrix.csv	non-LoRA stress evidence	supplement
MTCR-001	5	mtcr_raw_profiles	per_task_reference_profile	GSM8K	task	3	200	yes	results_90pt/scored_matrices/mtcr_per_task_profiles.parquet	auditable MTCR calibration	main Fig. 3
MTCR-002	5	mtcr_raw_profiles	per_view_scored_matrix	GSM8K	task	3	200	yes	results_90pt/scored_matrices/mtcr_per_task_profiles.parquet	MTCR uncertainty and per-view support	main Fig. 3
MTCR-003	5	mtcr_raw_profiles	task_ablation_with_ci	GSM8K	task	3	200	yes	results_90pt/summaries/mtcr_task_ablation_with_ci.csv	replace point estimates with uncertainty	main Fig. 3
REPRO-001	6	reproducibility	raw_trace_manifest	all	artifact	NA	NA	yes	results_90pt/reproducibility/reproducibility_manifest.tsv	trace provenance and hashes	source bundle
REPRO-002	6	reproducibility	adapter_checkpoint_manifest	all	artifact	NA	NA	yes	results_90pt/reproducibility/reproducibility_manifest.tsv	adapter provenance and hashes	source bundle
REPRO-003	6	reproducibility	full_scored_matrix_manifest	all	artifact	NA	NA	yes	results_90pt/reproducibility/reproducibility_manifest.tsv	scoring reproducibility	source bundle
REPRO-004	6	reproducibility	environment_lock_and_logs	all	artifact	NA	NA	yes	results_90pt/reproducibility/reproducibility_manifest.tsv	review-time rerun support	source bundle
