path	size	sha256
FIGURE_PANEL_TRACEABILITY.tsv	10709	c7f1ef24c05a4a9ee790ddc38aa4e5c0c574d17009ae9e163802ae5edf712001
figures/fig_core_detection.pdf	144234	ac0cdd0decb7dd26cfc37ae47ee2c4875957b18a675319e034b89b7887743191
figures/fig_core_detection.png	737573	11ec27676edf08823e8f3a31c667b5044d0f1164b48f1880677293f1d73e98d6
figures/fig_core_detection.svg	462225	f26b9149f040fa8d08374681fb2f08bc2e82b7b5e80e4ae8012c41375bfad16c
figures/fig_core_detection.tiff	1851168	8313104a67d0223802d032603618b3cd617d9e083e88bb47ecb0dff8f9f25622
figures/fig_forensic_envelope.pdf	44934	16f49d06dbdc8423d2668a3f68b8cbe29c01edb9c0bc9de236aabe1533188d53
figures/fig_forensic_envelope.png	265788	8bc483e8170da90f30a1fb867471c63672bfe5b0351976342436240a65d6c8c3
figures/fig_forensic_envelope.svg	35979	2843d2c85e45ce4700f13ca6dd62857005b58c580ca5a91d39f78922820bb332
figures/fig_forensic_envelope.tiff	481448	c6ec717a99fa03996249a7b3c6343a14f4d21d5a488ed829a1e9b71a6f6b69ff
figures/fig_method_overview.pdf	1250691	2553f2c1ff6061ead02592e1971f306cfb019d0bace32048c14e139d461efbd1
figures/fig_method_overview.png	1317794	d509aca227d2b35920dea4b87c36fddff9ad506cbd75d17dbfe9f47c70b85d23
figures/fig_method_overview.svg	1801266	b3be9cfb14ea1dbc13143919b8217f45ac7e9261b98db8a0e00af0dd254c2ebc
figures/fig_method_overview.tiff	8214722	ab828d189d75925e3ee7ceb7c4c3255456d03632e33ce89c24d99993215303b7
figures/fig_mtcr_attribution_epoch.pdf	48245	5cb86e150e5f95105a9429306fece513fca9bb988e03529061a509f6caf53e07
figures/fig_mtcr_attribution_epoch.png	386767	c5daa46c40d073e63dde19203692250c39c247dba0cd3c74772dd9057506a50c
figures/fig_mtcr_attribution_epoch.svg	41871	b190219242d50f3a65d4454660382d2c50d7b116eedb1cadf36d813a47d1421a
figures/fig_mtcr_attribution_epoch.tiff	688242	1ac2cc9f4383bfeed75e14c7cfb1912beb723a91cdda3a89ab5d26adbc4defc6
figures/fig_robustness_checks.pdf	50328	5a201ea77fbd4437227b607d79a9014699e2691a89f09024ca113e11846b743c
figures/fig_robustness_checks.png	447102	92354328908822a725297ddf8f756170e5f7b5922054a52761836d0c72e8e1c0
figures/fig_robustness_checks.svg	51070	a1e2c106e5e723fcd9cc4e0ee8bfc2301b8931dad9d8f559c2d15bc307fdae7c
figures/fig_robustness_checks.tiff	721870	34b49260f532010069e34b36c8adadc4e60e517fe426a6d7ad3d4dab877955a4
figures/fig_supp_baseline_and_abstention.pdf	49066	1b3aa95fb39f55f8f6d1d1f96f0c244f8f0317f7e2ddb135578a6f293d103aae
figures/fig_supp_baseline_and_abstention.png	467091	b2aaa24af7b6cf2452d3b034fe8ddf18a2840a0852ecbcff2b6d2f92944b55a6
figures/fig_supp_baseline_and_abstention.svg	49766	11ae6c725838b91b9549056a54f6cf910b2d469ed6202552cb8b2d67694409f3
figures/fig_supp_baseline_and_abstention.tiff	946226	db57a4e057dd2fbacc56c1c787c576970649cbe240445a91d3ac6b895c31bab0
figures/fig_supp_operating_stress.pdf	48034	26f82400a563fe4232b93d8f2f928bad9a56ac4455c99349336b6fe02337debf
figures/fig_supp_operating_stress.png	521598	bbeafd86f20a64b535565106ad3398ec11451c8ab9a5863db4deea413a3d86db
figures/fig_supp_operating_stress.svg	44721	d9846655d42a7abd4010f585ea766ea9d3b236dab4e910381148faaf187401ed
figures/fig_supp_operating_stress.tiff	1122748	82044fe4764fd26afa0f6fbe57f9b9e64d4d08c36404e29310b1f651bb6aac9d
figures/fig_tifs_pi_result_lock_suite.pdf	55696	3bde1333095cd5e6e7cb0145b628785c2e18123728c363145c111def146995bc
figures/fig_tifs_pi_result_lock_suite.png	602721	24eea3c38dd7cef173efbb992451da780046cd4cf100c8ec3f7edb008752df25
figures/fig_tifs_pi_result_lock_suite.svg	79095	72ec0adb58040a78854377ce03257223ee9023a27fcb28b734137bf291a64e32
figures/fig_tifs_pi_result_lock_suite.tiff	1508824	5745dacdb8b410905a21316a9a5cc381fadfda0276dfa0ddd1c6091e06304420
figures/import_external_fig1.R	1642	8630b02463eb85fa720c86dcf3f779bb14186e95db81a6ef4873d7e56047c4a5
figures/patch_fig1_artifact_wording.R	3033	e7ad8ad82f6d75224a78cb6b07048597aeddaa6a526f2fc04d0abcadaafa146a
figures/plot_forensic_envelope.R	11942	7fa35bd25725905e780827f8479a5861ad1970d7915be33ff6e3f1ea99ff82e1
figures/plot_nature_results.R	63923	5f58a00e4e32ac3b6ce545a5f45e21e39fc272c1b4c5d2662ab202e1427f6d12
figures/plot_pi_result_lock_tifs_suite.R	14865	f28e34535da67950543afdaa3580b71cbabe9793dd4fc9db9ce55f9d5de2f37e
figures/plot_supplementary_evidence.R	17057	abf1e79a7d3fdde65317fa058260dbe2cfa87d01b9ddcc21fbfd902d621e4676
figures/plot_tifs_advanced_figures.R	29110	90a1d747da1d2a7355c542e25530b7621d033d9378111baee05fcd88635f5c09
figures/source/results_full_gsm8k.json	28085	4865a98ce583bf99cff52f429145ff1bc7cabf002481f77792ee0741c7df5a57
figures/source/results_full_math.json	12439	ed2ecd44b643d8c9203f598b09781b40ffb2cb4476fd1f7b63a06296896c8e39
figures/source/scored_gsm8k/ctrlA__under__qwen2.5-1.5b.jsonl	34284	dc16014dd3d3e5086bab0e6ff7e4fffbade26ab3fc4fcd80062fcc4dd62a4ccc
figures/source/scored_gsm8k/ctrlA__under__qwen2.5-14b.jsonl	34088	af28fbc715c28053799653e3c8a22a3489ae4c93bd259b4576a7fc703e470497
figures/source/scored_gsm8k/ctrlA__under__qwen2.5-3b.jsonl	33890	08d372e26dd1212d16f64c74817ff414ddfa349d939996a455c854a10702d0b9
figures/source/scored_gsm8k/ctrlA__under__qwen2.5-7b.jsonl	33981	5f053624ddd871d7b5bd6f2fcd1147e5dad0f66f2f326836179c11a563dd34bd
figures/source/scored_gsm8k/ctrlA__under__r1-distill-llama-8b.jsonl	35608	f2e03ef3738f864ec00e9223a6c44c8caa04b378e0bf0e0b277cfeea697edd4e
figures/source/scored_gsm8k/ctrlA__under__r1-distill-qwen-32b.jsonl	35630	b8e1f6420719f4c700779523ea44fbf299197a97232b036de81a43f42cc13374
figures/source/scored_gsm8k/ctrlA_s1__under__qwen2.5-14b.jsonl	34690	d42f3551e2e7239270746c6d377a5a424d60507b55c37113c864d0c99d1555bc
figures/source/scored_gsm8k/ctrlA_s1__under__qwen2.5-7b.jsonl	34583	10f96276ccffca94e6546396b8cdd7e49edbf22bf50d9e2fe09cfdb7f9673231
figures/source/scored_gsm8k/ctrlA_s1__under__r1-distill-llama-8b.jsonl	36208	d5de8a4f43c9f87274a63e5000ef52f89b2daba361e2f1985bbc89001d9a579a
figures/source/scored_gsm8k/ctrlA_s1__under__r1-distill-qwen-32b.jsonl	36221	3267a144de9c7bf143fa4f0ec2b608efb24d06840c11256d78cc305b6b79500c
figures/source/scored_gsm8k/ctrlA_s2__under__qwen2.5-14b.jsonl	34694	5cbaac9f508b5456c3e24a572f8a9bbae5877f6c263f9c155a373296871236d9
figures/source/scored_gsm8k/ctrlA_s2__under__qwen2.5-7b.jsonl	34553	1230cb6d77ad52d0ef899f223faf383e1f3b9ddd1d57053ab8336eafcbf0b062
figures/source/scored_gsm8k/ctrlA_s2__under__r1-distill-llama-8b.jsonl	36232	56efedc0342594e737b36fca0c3020f5dedef0b0987be0ac91920932986e7a64
figures/source/scored_gsm8k/ctrlA_s2__under__r1-distill-qwen-32b.jsonl	36190	5927f066074f24212c2d6b3a9ca732f887cfdfd5d8a2b48f7162367c8b18f406
figures/source/scored_gsm8k/ctrlC__under__qwen2.5-1.5b.jsonl	33853	463fa220dd008ffd4624ac4a8074d5947fb9edd920f91d21af8bc5582fd668b9
figures/source/scored_gsm8k/ctrlC__under__qwen2.5-14b.jsonl	33734	4a9172de3f1569c442437fd88445543934bae5e395a6ab29d263c073aac08b84
figures/source/scored_gsm8k/ctrlC__under__qwen2.5-3b.jsonl	33482	f5470cde95391cbe3512beec63c0f4e66208c872c72567c95f224cb23aa1a184
figures/source/scored_gsm8k/ctrlC__under__qwen2.5-7b.jsonl	33537	46bf063b70e5a44d12cb48840e1107ea42d193311d11cb88b61bfd71889d76a9
figures/source/scored_gsm8k/ctrlC__under__r1-distill-llama-8b.jsonl	35236	8ae2521047308cf31f07bc98fa2331303c21022410874e8fcebadaea0d5b10cc
figures/source/scored_gsm8k/ctrlC__under__r1-distill-qwen-32b.jsonl	35260	cff65ed78f3f069c7fc24b4e207de4aea3c9d2f15fe01535b6b620fe92444d2d
