experiment,dataset,task,student_base,student_lineage,teacher_family,condition,strata,n_students,student_unit,metric,estimate,ci_low,ci_high,student_mean_max_stat,control_mean_max_stat,effect_size_margin,permutation_p,permutation_p_value,threshold_split,heldout_fpr,source_run_id,source_attachment
student_level_ci,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.029,0.984,1.074,0.381,-0.648,1.029,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,1.027,0.978,1.076,0.379,-0.648,1.027,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.039,0.991,1.087,0.391,-0.648,1.039,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.03,0.985,1.075,0.382,-0.648,1.03,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,1.026,0.977,1.075,0.378,-0.648,1.026,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.038,0.99,1.086,0.39,-0.648,1.038,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.023,0.978,1.068,0.375,-0.648,1.023,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,1.02,0.971,1.069,0.372,-0.648,1.02,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.035,0.987,1.083,0.387,-0.648,1.035,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.022,0.977,1.067,0.374,-0.648,1.022,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,1.017,0.968,1.066,0.369,-0.648,1.017,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.033,0.985,1.081,0.385,-0.648,1.033,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.016,0.971,1.061,0.368,-0.648,1.016,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,1.013,0.964,1.062,0.365,-0.648,1.013,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.023,0.975,1.071,0.375,-0.648,1.023,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.014,0.969,1.059,0.366,-0.648,1.014,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,1.009,0.96,1.058,0.361,-0.648,1.009,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,same_family_vs_ctrlc,Same-Family vs. ctrlC,5,independent_student_summary,effect_size_margin,1.022,0.974,1.07,0.374,-0.648,1.022,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen,all_distilled_vs_ctrlc,All Distilled vs. ctrlC,5,independent_student_summary,effect_size_margin,1.0,0.955,1.045,0.352,-0.648,1.0,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
student_level_ci,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen,cross_style_vs_ctrlc,Cross-Style vs. ctrlC,5,independent_student_summary,effect_size_margin,0.998,0.949,1.047,0.35,-0.648,0.998,< 0.0001,< 0.0001,calibration_controls_to_heldout_controls,,pi_attachment_20260624,pi_pasted_text_results_20260624
