experiment,condition,dataset,student_id,seed,abstention_rate,false_attribution_rate,closed_set_accuracy,n_traces,provenance_note
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlA_base,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlA_base_s1,1,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlA_base_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlC_ref,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlC_ref_s1,1,0.995,0.005,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlC_ref_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlInst_qwen,0,0.315,0.515,0.24817518248175183,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlInst_qwen_s1,1,0.37,0.435,0.30952380952380953,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlInst_qwen_s2,2,0.315,0.475,0.30656934306569344,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlLlama_r1,0,0.66,0.0,1.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlLlama_r1_s1,1,0.655,0.0,1.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,ctrlLlama_r1_s2,2,0.595,0.0,1.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,suspect,0,0.58,0.0,1.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,suspect_s1,1,0.555,0.0,1.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,sibling_teacher_absent,GSM8K,suspect_s2,2,0.585,0.0,1.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlA_base,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlA_base_s1,1,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlA_base_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlC_ref,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlC_ref_s1,1,0.995,0.005,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlC_ref_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlInst_qwen,0,0.395,0.605,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlInst_qwen_s1,1,0.48,0.52,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlInst_qwen_s2,2,0.415,0.585,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlLlama_r1,0,0.585,0.415,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlLlama_r1_s1,1,0.57,0.43,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,ctrlLlama_r1_s2,2,0.515,0.485,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,suspect,0,0.735,0.265,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,suspect_s1,1,0.715,0.285,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_absent,GSM8K,suspect_s2,2,0.685,0.315,0.0,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlA_base,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlA_base_s1,1,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlA_base_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlC_ref,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlC_ref_s1,1,0.995,0.005,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlC_ref_s2,2,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlInst_qwen,0,0.315,0.515,0.24817518248175183,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlInst_qwen_s1,1,0.37,0.435,0.30952380952380953,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlInst_qwen_s2,2,0.315,0.475,0.30656934306569344,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlLlama_r1,0,0.52,0.195,0.59375,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlLlama_r1_s1,1,0.55,0.15,0.6666666666666666,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,ctrlLlama_r1_s2,2,0.48,0.22,0.5769230769230769,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,suspect,0,0.545,0.145,0.6813186813186813,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,suspect_s1,1,0.54,0.185,0.5978260869565217,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,source_teacher_present_closed_set,GSM8K,suspect_s2,2,0.53,0.21,0.5531914893617021,200,derived_from_existing_scored_matrix_without_new_inference
out_of_set_candidate,unrelated_capable_teacher_present,GSM8K,ctrlA_base,0,1.0,0.0,,200,derived_from_existing_scored_matrix_without_new_inference
