experiment,attack_type,attack_strength,dataset,task,student_base,student_lineage,teacher_family,seed,evasion_attack,detection_method,method,auroc,tpr_at_1pct_fpr,fpr_zero,fpr0,ci_low,ci_high,n_students,threshold_source,source_run_id,source_attachment
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.53,0.021,0.808,0.808,0.511,0.549,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.529,0.02,0.809,0.809,0.51,0.548,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.999,0.998,0.0,0.0,0.992,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.998,0.997,0.001,0.001,0.991,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.521,0.018,0.814,0.814,0.502,0.54,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.52,0.018,0.815,0.815,0.501,0.539,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.985,0.975,0.002,0.002,0.971,0.999,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.984,0.973,0.003,0.003,0.97,0.998,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.502,0.01,0.854,0.854,0.483,0.521,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.502,0.01,0.855,0.855,0.483,0.521,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.952,0.92,0.005,0.005,0.938,0.966,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.951,0.919,0.006,0.006,0.937,0.965,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,Base-Relative,Base-relative,0.515,0.015,0.82,0.82,0.496,0.534,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,Base-Relative,Base-relative,0.514,0.014,0.821,0.821,0.495,0.533,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.978,0.962,0.003,0.003,0.964,0.992,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.977,0.96,0.004,0.004,0.963,0.991,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Style Rewrite,Base-Relative,Base-relative,0.51,0.012,0.832,0.832,0.491,0.529,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Style Rewrite,Base-Relative,Base-relative,0.509,0.012,0.833,0.833,0.49,0.528,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Style Rewrite,CML+MTCR,CML+MTCR,0.965,0.945,0.004,0.004,0.951,0.979,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Style Rewrite,CML+MTCR,CML+MTCR,0.964,0.943,0.005,0.005,0.95,0.978,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Temperature/Top-p,Base-Relative,Base-relative,0.528,0.02,0.81,0.81,0.509,0.547,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Temperature/Top-p,Base-Relative,Base-relative,0.528,0.02,0.811,0.811,0.509,0.547,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Temperature/Top-p,CML+MTCR,CML+MTCR,0.992,0.984,0.001,0.001,0.985,0.999,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Temperature/Top-p,CML+MTCR,CML+MTCR,0.991,0.983,0.002,0.002,0.984,0.998,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Mixed Traces (50%),Base-Relative,Base-relative,0.512,0.014,0.828,0.828,0.493,0.531,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Mixed Traces (50%),Base-Relative,Base-relative,0.511,0.014,0.829,0.829,0.492,0.53,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Mixed Traces (50%),CML+MTCR,CML+MTCR,0.954,0.932,0.008,0.008,0.94,0.968,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Mixed Traces (50%),CML+MTCR,CML+MTCR,0.953,0.931,0.009,0.009,0.939,0.967,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
