figure	panel	panel_claim	visual_encoding	primary_source	derived_source	submission_status
Figure 1	access	The access model separates black-box suspect traces, same-base reference traces, and authorized candidate-teacher likelihood scorers.	protocol schematic from PI-selected graphical workflow	figures/source_external/fig1_cml_protocol_external_source_20260624_155038.png	figures/fig_method_overview.png; figures/fig_method_overview.pdf	include
Figure 1	matching	Capability matching scores suspect and reference traces under the same candidate teacher before forming the matched statistic.	protocol schematic from PI-selected graphical workflow	figures/source_external/fig1_cml_protocol_external_source_20260624_155038.png	figures/fig_method_overview.png; figures/fig_method_overview.pdf	include
Figure 1	decision	The calibrated statistic supports detect, attribute, or abstain decisions while marking claim boundaries.	protocol schematic from PI-selected graphical workflow	figures/source_external/fig1_cml_protocol_external_source_20260624_155038.png	figures/fig_method_overview.png; figures/fig_method_overview.pdf	include
Figure 2	a	CML separates distilled suspects from the human-reference null where the base-relative statistic false-alarms.	decision-boundary scatter	figures/source/results_full_gsm8k.json; figures/source/scored_gsm8k/*.jsonl	figures/source_derived/figure2_decision_boundary.csv	include
Figure 2	b	The CML trace-level pattern carries from GSM8K to a single-seed MATH stress test.	stress-test slopegraph	figures/source/results_full_gsm8k.json; figures/source/results_full_math.json	figures/source_derived/figure2_math_stress_slope.csv	include
Figure 2	c	CML reduces the zero-threshold false-positive rate from 0.808 to 0.002 on GSM8K.	FPR-collapse trajectory	figures/source/results_full_gsm8k.json; figures/source/scored_gsm8k/*.jsonl	figures/source_derived/figure2_fpr_collapse.csv	include
Figure 2	d	The trace-level matched statistic separates distilled students from the human-reference control.	density ridges with quartile bars and sampled trace points	figures/source/results_full_gsm8k.json; figures/source/scored_gsm8k/*.jsonl	figures/source_derived/figure2_trace_density_ridges.csv; figures/source_derived/figure2_trace_level_distribution.csv; figures/source_derived/figure2_trace_distribution_summary.csv	include
Figure 2	e	The candidate-teacher matched-surplus profile supports the detection boundary.	teacher-student evidence matrix	figures/source/results_full_gsm8k.json; figures/source/scored_gsm8k/*.jsonl	figures/source_derived/figure2_matched_heatmap.csv	include
Figure 2	f	The detection improvement is a full ROC-curve shift rather than a single-threshold artifact.	ROC curve	figures/source/results_full_gsm8k.json; figures/source/scored_gsm8k/*.jsonl	figures/source_derived/figure2_roc_points.csv	include
Figure 3	a	MTCR raises aggregate sibling-teacher attribution accuracy for R1-Qwen-32B and R1-Llama-8B.	slopegraph	figures/source/w08_mtcr_attribution.csv	figures/source_derived/figure3_tifs_attr_flow.csv	include
Figure 3	b	Sibling attribution improves as more calibration task views are used.	task-view calibration trajectory	figures/source/w08_calibration_tasks_ablation.csv	figures/source_derived/figure3_tifs_calibration_profile.csv	include
Figure 3	c	Residual attribution error shrinks after MTCR calibration.	error-budget dumbbell plot	figures/source/w08_mtcr_attribution.csv	figures/source_derived/figure3_tifs_residual_error.csv	include
Figure 3	d	Shared-ancestor binary detection is recovered by CML while the base-relative statistic fails.	shared-ancestor lollipop plot	figures/source/w08_shared_ancestor_detection.csv	figures/source_derived/figure3_tifs_shared_ancestor_lollipop.csv	include
Figure 3	e	Detection AUROC strengthens from one to five distillation epochs on GSM8K and MATH.	epoch AUROC trajectory	figures/source/w08_epoch_sensitivity.csv	figures/source_derived/figure3_tifs_epoch_profile.csv	include
Figure 3	f	Empirical FPR contracts as the distillation signal strengthens across epochs.	FPR area strip	figures/source/w08_epoch_sensitivity.csv	figures/source_derived/figure3_epoch_fpr.csv	include
Figure 4	a	Detection AUROC increases with evaluated trace budget.	log-scale trace-budget trajectory	figures/source/w08_trace_size_sensitivity.csv	figures/source_derived/figure4_tifs_trace_budget_profile.csv	include
Figure 4	b	Minimum query budgets summarize how many traces are needed for AUROC 0.95 and 0.99.	query-threshold ladder	figures/source/w08_trace_size_sensitivity.csv	figures/source_derived/figure4_tifs_query_thresholds.csv; figures/source_derived/figure4_tifs_query_threshold_labels.csv	include
Figure 4	c	Longer reasoning chains carry stronger distillation signal.	reasoning-depth trajectory	figures/source/w08_reasoning_step_depth.csv	figures/source_derived/figure4_tifs_reasoning_depth_profile.csv	include
Figure 4	d	CML+MTCR remains usable across SVAMP, ASDiv, MATH, and ARC-Challenge point-estimate stress tests.	cross-dataset forest/dot comparison	figures/source/w08_cross_dataset_generalizability.csv	figures/source_derived/figure4_tifs_cross_dataset_forest.csv	include
