experiment,condition,dataset,task,student_base,true_teacher,true_lineage,candidate_set,pred_teacher,scenario,abstention_rate,false_attribution_rate,closed_set_accuracy,coverage,auroc,tpr_at_1pct_fpr,source_run_id,source_attachment
open_set_abstention,source_teacher_absent,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.953,0.011,,0.987,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.952,0.012,,0.987,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.941,0.014,,0.984,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.941,0.015,,0.985,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.977,0.004,,0.994,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.976,0.004,,0.994,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.991,0.009,,0.991,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.991,0.01,,0.991,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.951,0.013,,0.986,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.95,0.012,,0.986,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.939,0.015,,0.983,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.939,0.016,,0.984,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.975,0.006,,0.993,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.975,0.007,,0.994,,,pi_attachment_20260624,pi_pasted_text_results_20260624
