experiment,dataset,student_base,teacher_family,teacher_model,student_training,seed,auroc,tpr_at_1pct_fpr,fpr_zero,ci_low,ci_high,n_students,source_run_id
cross_base_task,GSM8K,Qwen2.5-7B,Qwen2.5-32B,Qwen2.5-32B,same_base,aggregate_5_student_seeds,0.999,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MATH,Qwen2.5-7B,Qwen2.5-32B,Qwen2.5-32B,same_base,aggregate_5_student_seeds,0.996,,,,,5,pi_locked_result_summary_20260623
cross_base_task,BBH,Qwen2.5-7B,Qwen2.5-32B,Qwen2.5-32B,same_base,aggregate_5_student_seeds,0.991,,,,,5,pi_locked_result_summary_20260623
cross_base_task,ARC-Challenge,Qwen2.5-7B,Qwen2.5-32B,Qwen2.5-32B,same_base,aggregate_5_student_seeds,0.984,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MBPP,Qwen2.5-7B,Qwen2.5-32B,Qwen2.5-32B,same_base,aggregate_5_student_seeds,0.978,,,,,5,pi_locked_result_summary_20260623
cross_base_task,GSM8K,Llama-3.1-8B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.958,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MATH,Llama-3.1-8B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.949,,,,,5,pi_locked_result_summary_20260623
cross_base_task,BBH,Llama-3.1-8B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.942,,,,,5,pi_locked_result_summary_20260623
cross_base_task,ARC-Challenge,Llama-3.1-8B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.935,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MBPP,Llama-3.1-8B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.926,,,,,5,pi_locked_result_summary_20260623
cross_base_task,GSM8K,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.952,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MATH,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.944,,,,,5,pi_locked_result_summary_20260623
cross_base_task,BBH,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.938,,,,,5,pi_locked_result_summary_20260623
cross_base_task,ARC-Challenge,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.929,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MBPP,Mistral-v0.3-7B,Qwen2.5-32B,Qwen2.5-32B,cross_base,aggregate_5_student_seeds,0.918,,,,,5,pi_locked_result_summary_20260623
cross_base_task,GSM8K,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.998,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MATH,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.995,,,,,5,pi_locked_result_summary_20260623
cross_base_task,BBH,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.989,,,,,5,pi_locked_result_summary_20260623
cross_base_task,ARC-Challenge,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.981,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MBPP,Llama-3.1-8B,Llama-3.1-70B,Llama-3.1-70B,same_base,aggregate_5_student_seeds,0.974,,,,,5,pi_locked_result_summary_20260623
cross_base_task,GSM8K,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.949,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MATH,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.941,,,,,5,pi_locked_result_summary_20260623
cross_base_task,BBH,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.935,,,,,5,pi_locked_result_summary_20260623
cross_base_task,ARC-Challenge,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.928,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MBPP,Qwen2.5-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.919,,,,,5,pi_locked_result_summary_20260623
cross_base_task,GSM8K,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.945,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MATH,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.936,,,,,5,pi_locked_result_summary_20260623
cross_base_task,BBH,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.930,,,,,5,pi_locked_result_summary_20260623
cross_base_task,ARC-Challenge,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.921,,,,,5,pi_locked_result_summary_20260623
cross_base_task,MBPP,Mistral-v0.3-7B,Llama-3.1-70B,Llama-3.1-70B,cross_base,aggregate_5_student_seeds,0.912,,,,,5,pi_locked_result_summary_20260623
